level,soc,occupation,employment,annual_mean_wage,annual_median_wage
detail,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",4120,57630,49090
detail,41-9011,Demonstrators and Product Promoters,,54840,57150
detail,41-9012,Models,,92290,107280
detail,41-9022,Real Estate Sales Agents,,45410,38860
detail,41-9031,Sales Engineers,80,143860,129250
detail,41-9041,Telemarketers,,32810,28430
detail,41-9099,"Sales and Related Workers, All Other",900,56270,46480
major,43-0000,Office and Administrative Support Occupations,274330,45760,42360
detail,43-1011,First-Line Supervisors of Office and Administrative Support Workers,8850,69410,62960
detail,43-2011,"Switchboard Operators, Including Answering Service",210,46850,41830
detail,43-3011,Bill and Account Collectors,2340,47950,46950
detail,43-3021,Billing and Posting Clerks,4390,52870,49560
detail,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",16610,52450,49820
detail,43-3051,Payroll and Timekeeping Clerks,6920,54240,51720
detail,43-3061,Procurement Clerks,890,54040,51650
detail,43-3071,Tellers,350,35810,33280
detail,43-3099,"Financial Clerks, All Other",210,59190,65880
detail,43-4021,Correspondence Clerks,60,40540,42660
detail,43-4031,"Court, Municipal, and License Clerks",230,42860,40810
detail,43-4041,"Credit Authorizers, Checkers, and Clerks",80,46920,43910
detail,43-4051,Customer Service Representatives,54060,42200,39150
detail,43-4061,"Eligibility Interviewers, Government Programs",900,39270,40160
detail,43-4071,File Clerks,1950,43330,39530
detail,43-4081,"Hotel, Motel, and Resort Desk Clerks",290,33870,33280
detail,43-4111,"Interviewers, Except Eligibility and Loan",1240,46850,43920
detail,43-4121,"Library Assistants, Clerical",170,33090,33860
detail,43-4131,Loan Interviewers and Clerks,680,45620,43890
detail,43-4141,New Accounts Clerks,70,44370,40700
detail,43-4151,Order Clerks,920,39520,37790
detail,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",4760,48950,47710
detail,43-4171,Receptionists and Information Clerks,10780,39310,38140
detail,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,60,49510,50470
detail,43-4199,"Information and Record Clerks, All Other",940,45120,42840
detail,43-5011,Cargo and Freight Agents,130,42590,45410
detail,43-5021,Couriers and Messengers,650,38510,38150
detail,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",2010,42270,40710
detail,43-5041,"Meter Readers, Utilities",280,40470,41480
detail,43-5061,"Production, Planning, and Expediting Clerks",7380,56190,48690
detail,43-5071,"Shipping, Receiving, and Inventory Clerks",27870,40130,38180
detail,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",770,38990,37440
detail,43-6011,Executive Secretaries and Executive Administrative Assistants,4270,79120,78320
detail,43-6012,Legal Secretaries and Administrative Assistants,640,52410,50610
detail,43-6013,Medical Secretaries and Administrative Assistants,6520,42430,41600
detail,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",34450,47190,45760
detail,43-9021,Data Entry Keyers,10440,39990,38560
detail,43-9022,Word Processors and Typists,890,59870,50470
detail,43-9031,Desktop Publishers,60,,
detail,43-9041,Insurance Claims and Policy Processing Clerks,1450,48130,47130
detail,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",2510,41180,38870
detail,43-9061,"Office Clerks, General",50200,42120,38730
detail,43-9071,"Office Machine Operators, Except Computer",820,40710,39260
detail,43-9081,Proofreaders and Copy Markers,300,62040,51410
detail,43-9199,"Office and Administrative Support Workers, All Other",4090,48180,42990
major,45-0000,"Farming, Fishing, and Forestry Occupations",,39000,38990
detail,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",120,58000,53660
detail,45-2041,"Graders and Sorters, Agricultural Products",130,39850,38030
detail,45-2091,Agricultural Equipment Operators,,38680,37080
detail,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",,38240,38990
detail,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1190,40600,37460
detail,45-2099,"Agricultural Workers, All Other",,35590,36180
major,47-0000,Construction and Extraction Occupations,102030,48040,44930
detail,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,4060,68170,59730
detail,47-2011,Boilermakers,230,66660,64940
detail,47-2021,Brickmasons and Blockmasons,120,42790,37990
detail,47-2022,Stonemasons,50,43400,40540
detail,47-2031,Carpenters,7620,52600,49350
detail,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",50,42450,34930
detail,47-2043,Floor Sanders and Finishers,70,36040,37450
detail,47-2044,Tile and Stone Setters,80,40140,29890
detail,47-2051,Cement Masons and Concrete Finishers,2830,48980,48050
detail,47-2061,Construction Laborers,35710,37110,35210
detail,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",290,39020,39130
detail,47-2073,Operating Engineers and Other Construction Equipment Operators,3980,48380,45130
detail,47-2081,Drywall and Ceiling Tile Installers,980,41850,38340
detail,47-2111,Electricians,18860,60940,57550
detail,47-2121,Glaziers,200,43430,46050
detail,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",270,51110,47520
detail,47-2132,"Insulation Workers, Mechanical",160,49000,49070
detail,47-2141,"Painters, Construction and Maintenance",2520,42170,38270
detail,47-2151,Pipelayers,70,38930,37890
detail,47-2152,"Plumbers, Pipefitters, and Steamfitters",4870,58590,55660
detail,47-2171,Reinforcing Iron and Rebar Workers,,58050,59410
detail,47-2181,Roofers,660,43200,37650
detail,47-2211,Sheet Metal Workers,1710,53400,49370
detail,47-2221,Structural Iron and Steel Workers,460,46790,38990
detail,47-2231,Solar Photovoltaic Installers,5620,48170,47100
detail,47-3012,Helpers--Carpenters,400,39850,38470
detail,47-3013,Helpers--Electricians,2510,42110,42240
detail,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",270,37060,37990
detail,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",230,44020,46110
detail,47-3019,"Helpers, Construction Trades, All Other",680,42480,38830
detail,47-4011,Construction and Building Inspectors,900,75760,73510
detail,47-4031,Fence Erectors,460,34060,31840
detail,47-4041,Hazardous Materials Removal Workers,1420,45550,43940
detail,47-4051,Highway Maintenance Workers,230,36840,35660
detail,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,,38360,37130
detail,47-5013,"Service Unit Operators, Oil and Gas",350,59290,57520
detail,47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",,47820,46920
detail,47-5023,"Earth Drillers, Except Oil and Gas",,51290,51790
detail,47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",,45680,42670
detail,47-5041,Continuous Mining Machine Operators,,56420,60780
detail,47-5071,"Roustabouts, Oil and Gas",280,43230,42210
detail,47-5099,"Extraction Workers, All Other",140,41100,38500
major,49-0000,"Installation, Maintenance, and Repair Occupations",56750,50610,46830
detail,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",830,84880,77700
detail,49-2011,"Computer, Automated Teller, and Office Machine Repairers",1050,54650,51280
detail,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",3050,52970,49870
detail,49-2091,Avionics Technicians,270,70270,62860
detail,49-2092,"Electric Motor, Power Tool, and Related Repairers",60,40790,37470
detail,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",1020,59300,49990
detail,49-2097,Audiovisual Equipment Installers and Repairers,,45220,46030
detail,49-2098,Security and Fire Alarm Systems Installers,580,45910,46260
detail,49-3011,Aircraft Mechanics and Service Technicians,1600,59890,59830
detail,49-3021,Automotive Body and Related Repairers,160,49230,45460
detail,49-3023,Automotive Service Technicians and Mechanics,1740,49440,45160
detail,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,,48800,46890
detail,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",950,62300,59230
detail,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,,36850,31970
detail,49-3093,Tire Repairers and Changers,330,40090,37800
detail,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",70,50760,44960
detail,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",1940,61050,57200
detail,49-9041,Industrial Machinery Mechanics,4060,56050,50530
detail,49-9043,"Maintenance Workers, Machinery",990,47100,42910
detail,49-9044,Millwrights,1530,55960,52250
detail,49-9051,Electrical Power-Line Installers and Repairers,290,71290,71940
detail,49-9052,Telecommunications Line Installers and Repairers,710,51680,49300
detail,49-9071,"Maintenance and Repair Workers, General",22990,46120,43730
